OID_COUSUB_22|GEOID_COUSUB_22|NAMELSAD_COUSUB_22|AREALAND_COUSUB_22|AREAWATER_COUSUB_22|MTFCC_COUSUB_22|CLASSFP_COUSUB_22|FUNCSTAT_COUSUB_22|OID_PUMA5_20|GEOID_PUMA5_20|NAMELSAD_PUMA5_20|AREALAND_PUMA5_20|AREAWATER_PUMA5_20|MTFCC_PUMA5_20|FUNCSTAT_PUMA5_20|AREALAND_PART|AREAWATER_PART
276901151027358|0911001080|Andover town|40012484|635900|G4040|T1|A|2177029730142940|0920203|Capitol East PUMA|852362780|12622343|G6120|S|40012484|635900
27690331919326|0911002060|Avon town|59982586|1118863|G4040|T1|A|2177029730142920|0920207|Capitol West PUMA|491309154|7189316|G6120|S|59982586|1118863
27690331919327|0911004300|Berlin town|68147323|1744874|G4040|T1|A|2177029730142928|0920206|New Britain, Southington, Berlin & Plainville Towns PUMA|220895204|4058167|G6120|S|68147323|1744874
27690331919328|0911005910|Bloomfield town|67562264|430688|G4040|T1|A|2177029730142930|0920202|Connecticut River North PUMA|503852019|12290997|G6120|S|67562264|430688
276901151027359|0911006260|Bolton town|37314557|766251|G4040|T1|A|2177029730142940|0920203|Capitol East PUMA|852362780|12622343|G6120|S|37314557|766251
27690331919331|0911012270|Canton town|63676508|1137667|G4040|T1|A|2177029730142920|0920207|Capitol West PUMA|491309154|7189316|G6120|S|63676508|1137667
276901151027360|0911016400|Columbia town|55355051|1587988|G4040|T1|A|2177029730142940|0920203|Capitol East PUMA|852362780|12622343|G6120|S|55355051|1587988
276901151027361|0911017800|Coventry town|97308019|1744460|G4040|T1|A|2177029730142940|0920203|Capitol East PUMA|852362780|12622343|G6120|S|97308019|1744460
27690331919332|0911022070|East Granby town|45443300|261880|G4040|T1|A|2177029730142920|0920207|Capitol West PUMA|491309154|7189316|G6120|S|45443300|261880
27690331919333|0911022630|East Hartford town|46638315|1904155|G4040|T1|A|2177029730262967|0920204|East Hartford, Manchester & Vernon Towns PUMA|163500278|3610783|G6120|S|46638315|1904155
27690331919334|0911024800|East Windsor town|67989003|1466611|G4040|T1|A|2177029730142930|0920202|Connecticut River North PUMA|503852019|12290997|G6120|S|67989003|1466611
276901151027362|0911025360|Ellington town|88164953|1380866|G4040|T1|A|2177029730142940|0920203|Capitol East PUMA|852362780|12622343|G6120|S|88164953|1380866
27690331919335|0911025990|Enfield town|86292324|2446885|G4040|T1|A|2177029730142930|0920202|Connecticut River North PUMA|503852019|12290997|G6120|S|86292324|2446885
27690331919336|0911027600|Farmington town|72265587|2271280|G4040|T1|A|2177029730142920|0920207|Capitol West PUMA|491309154|7189316|G6120|S|72265587|2271280
27690331919337|0911031240|Glastonbury town|132758374|2376010|G4040|T1|A|2177029730142938|0920205|Glastonbury, Wethersfield, Rocky Hill & Newington Towns PUMA|233522964|5444747|G6120|S|132758374|2376010
